tid,sid,lat,lon,time,angle,speed,label
1,1,-5.778,-35.206,1081877460,0,0,NOT_FISHING
1,1,-5.778,-35.206,1081878240,0,0,NOT_FISHING
1,1,-5.778,-35.206,1081883760,0,0,NOT_FISHING
1,1,-5.778,-35.206,1081886880,0,0,NOT_FISHING
1,1,-5.778,-35.206,1081893120,0,0,NOT_FISHING
1,1,-5.764,-35.205,1082030760,4.065,0.01,NOT_FISHING
1,1,-5.701,-35.093,1082034000,60.5249,4.39,NOT_FISHING
1,1,-5.674,-35.044,1082035380,61.0271,4.49,NOT_FISHING
1,1,-5.622,-34.97,1082037600,54.7766,4.52,NOT_FISHING
1,1,-5.594,-34.948,1082038500,38.0248,4.39,NOT_FISHING
1,1,-5.47,-34.932,1082041440,7.3193,4.73,NOT_FISHING
1,1,-5.326,-34.93,1082044800,0.7923,4.77,NOT_FISHING
1,1,-5.207,-34.928,1082047620,0.9589,4.69,NOT_FISHING
1,1,-5.174,-34.927,1082048400,1.7286,4.71,NOT_FISHING
1,1,-5.137,-34.924,1082049300,4.6169,4.59,NOT_FISHING
1,1,-5.023,-34.928,1082052000,357.9982,4.7,NOT_FISHING
1,1,-4.886,-34.93,1082055240,359.1667,4.7,NOT_FISHING
1,1,-4.712,-34.933,1082059200,359.0156,4.89,NOT_FISHING
1,1,-4.557,-34.935,1082062800,359.2631,4.79,NOT_FISHING
1,1,-4.497,-34.933,1082064240,1.9033,4.64,NOT_FISHING
1,1,-4.404,-34.938,1082066400,356.9316,4.79,NOT_FISHING
1,1,-4.252,-34.926,1082070000,4.5016,4.71,NOT_FISHING
1,1,-4.147,-34.926,1082072520,0,4.63,NOT_FISHING
1,1,-4.096,-34.927,1082073600,358.8796,5.25,NOT_FISHING
1,1,-4.024,-34.929,1082075280,358.4128,4.77,NOT_FISHING
1,1,-3.941,-34.928,1082077200,0.6886,4.81,NOT_FISHING
1,1,-3.905,-34.93,1082078100,356.8275,4.45,NOT_FISHING
